# surftimeconst/t_eta,average_velocity_axis_us_10.0_rt_0.0,average_velocity_axis_us_15.0_rt_0.0,average_velocity_axis_us_20.0_rt_0.0,average_velocity_axis_us_6.0_rt_0.0,average_velocity_axis_us_7.0_rt_0.0,average_velocity_axis_us_8.0_rt_0.0,average_velocity_axis_us_9.0_rt_0.0
0.000000000000000000e+00,6.600000000000000311e-01,9.899999999999999911e-01,1.320000000000000062e+00,3.960000000000000187e-01,4.620000000000000218e-01,5.280000000000000249e-01,5.940000000000000835e-01
2.040816326530612290e-01,6.868888609202977724e-01,1.016034806297790638e+00,1.339999207484374733e+00,4.178242323050164186e-01,4.827587978357616993e-01,5.508785100545242619e-01,6.241732805384287985e-01
4.081632653061224580e-01,7.111097691012425726e-01,1.038856978335023884e+00,1.356823987861363490e+00,4.377649370288789754e-01,5.015442101401210717e-01,5.715624266185870272e-01,6.513285472751969563e-01
6.122448979591836871e-01,7.327562508792352380e-01,1.058585436132426727e+00,1.370601596877479622e+00,4.558857617587565580e-01,5.184300954619919244e-01,5.901318808055595611e-01,6.755761933379716977e-01
8.163265306122449161e-01,7.519218325906767975e-01,1.075339099710724833e+00,1.381459290279237084e+00,4.722503540818176471e-01,5.334903123502885425e-01,6.066670037288132145e-01,6.970266118544199418e-01
1.020408163265306145e+00,7.687000405719683904e-01,1.089236889090645422e+00,1.389524323813149387e+00,4.869223615852310560e-01,5.467987193539252111e-01,6.212479265017191166e-01,7.157901959522090518e-01
1.224489795918367374e+00,7.831844011595103794e-01,1.100397724292914381e+00,1.394923953225730040e+00,4.999654318561654875e-01,5.584291750218158823e-01,6.339547802376488406e-01,7.319773387590059466e-01
1.428571428571428603e+00,7.954684406897043480e-01,1.108940525338258265e+00,1.397785434263492554e+00,5.114432124817895886e-01,5.684555379028749522e-01,6.448676960499731825e-01,7.456984334024778782e-01
1.632653061224489832e+00,8.056456854989508809e-01,1.114984212247403406e+00,1.398236022672950662e+00,5.214193510492718397e-01,5.769516665460162619e-01,6.540668050520639376e-01,7.570638730102919878e-01
1.836734693877551061e+00,8.138096619236508955e-01,1.118647705041076579e+00,1.396402974200617653e+00,5.299574951457811656e-01,5.839914195001543185e-01,6.616322383572922350e-01,7.661840507101150832e-01
2.040816326530612290e+00,8.200538963002053094e-01,1.120049923740003894e+00,1.392413544593007702e+00,5.371212923584861576e-01,5.896486553142029630e-01,6.676441270790289817e-01,7.731693596296146387e-01
2.244897959183673741e+00,8.244719149650153733e-01,1.119309788364911906e+00,1.386394989596633653e+00,5.429743902745555184e-01,5.939972325370764805e-01,6.721826023306459730e-01,7.781301928964576842e-01
2.448979591836734748e+00,8.271572442544814496e-01,1.116546218936526946e+00,1.378474564958010129e+00,5.475804364811579505e-01,5.971110097176890452e-01,6.753277952255142269e-01,7.811769436383111387e-01
2.653061224489795755e+00,8.282034105050051220e-01,1.111878135475575347e+00,1.368779526423649751e+00,5.510030785654619345e-01,5.990638454049548312e-01,6.771598368770050946e-01,7.824200049828423653e-01
2.857142857142857206e+00,8.277039400529867530e-01,1.105424458002784105e+00,1.357437129740066473e+00,5.533059641146363949e-01,5.999295981477879014e-01,6.777588583984897053e-01,7.819697700577183941e-01
3.061224489795918657e+00,8.257523592348275931e-01,1.097304106538878887e+00,1.344574630653773584e+00,5.545527407158498123e-01,5.997821264951024300e-01,6.772049909033395210e-01,7.799366319906063660e-01
3.265306122448979664e+00,8.224421943869284490e-01,1.087636001104586692e+00,1.330319284911285482e+00,5.548070559562711113e-01,5.986952889958127022e-01,6.755783655049258929e-01,7.764309839091733112e-01
3.469387755102040671e+00,8.178669718456902382e-01,1.076539061720633628e+00,1.314798348259115013e+00,5.541325574230686613e-01,5.967429441988326699e-01,6.729591133166198391e-01,7.715632189410863706e-01
3.673469387755102122e+00,8.121202179475141003e-01,1.064132208407746472e+00,1.298139076443775908e+00,5.525928927034113869e-01,5.939989506530766183e-01,6.694273654517927108e-01,7.654437302140126853e-01
3.877551020408163573e+00,8.052954590288006198e-01,1.050534361186651111e+00,1.280468725211781900e+00,5.502517093844678797e-01,5.905371669074584995e-01,6.650632530238159701e-01,7.581829108556192853e-01
4.081632653061224580e+00,7.974862214259509363e-01,1.035864440078074544e+00,1.261914550309646499e+00,5.471726550534068423e-01,5.864314515108928205e-01,6.599469071460606351e-01,7.498911539935734227e-01
4.285714285714285587e+00,7.887860314753661894e-01,1.020241365102742659e+00,1.242603807483883438e+00,5.434193772973967551e-01,5.817556630122934225e-01,6.541584589318982790e-01,7.406788527555421275e-01
4.489795918367347483e+00,7.792884155134467417e-01,1.003784056281382231e+00,1.222663752481006005e+00,5.390555237036065428e-01,5.765836599605745905e-01,6.477780394946998088e-01,7.306564002691925408e-01
4.693877551020408490e+00,7.690868998765940656e-01,9.866114336347197034e-01,1.202221641047527934e+00,5.341447418592049079e-01,5.709893009046504986e-01,6.408857799478369088e-01,7.199341896621918035e-01
4.897959183673469497e+00,7.582750109012088569e-01,9.688424171834816301e-01,1.181404728929962733e+00,5.287506793513602199e-01,5.650464443934352099e-01,6.335618114046805971e-01,7.086226140622070568e-01
5.102040816326530503e+00,7.469462749236921439e-01,9.505959269483940099e-01,1.160340271874824580e+00,5.229369837672416255e-01,5.588289489758428985e-01,6.258862649786023358e-01,6.968320665969053307e-01
5.306122448979591510e+00,7.351942182804447334e-01,9.319908829501833969e-01,1.139155525628626320e+00,5.167673026940173830e-01,5.524106732007879605e-01,6.179392717829731430e-01,6.846729403939538772e-01
5.510204081632653406e+00,7.231123673078675429e-01,9.131462052095764559e-01,1.117977745937881684e+00,5.103052837188563062e-01,5.458654756171841260e-01,6.098009629311644808e-01,6.722556285810196153e-01
5.714285714285714413e+00,7.107942483423616009e-01,8.941808137472994078e-01,1.096934188549104405e+00,5.036145744289269865e-01,5.392672147739457911e-01,6.015514695365474784e-01,6.596905242857697971e-01
5.918367346938775420e+00,6.983333877203278250e-01,8.752136285840786956e-01,1.076152109208808216e+00,4.967588224113984041e-01,5.326897492199869077e-01,5.932709227124938201e-01,6.470880206358713416e-01
6.122448979591837315e+00,6.858233117781669108e-01,8.563635697406409841e-01,1.055758763663506405e+00,4.898016752534388729e-01,5.262069375042219832e-01,5.850394535723743017e-01,6.345585107589917229e-01
6.326530612244898322e+00,6.733575468522805529e-01,8.377495572377123834e-01,1.035881407659712927e+00,4.828067805422173175e-01,5.198926381755649695e-01,5.769371932295603855e-01,6.222123877827977489e-01
6.530612244897959329e+00,6.610296192790685588e-01,8.194905110960197803e-01,1.016647296943941070e+00,4.758377858649021630e-01,5.138207097829301517e-01,5.690442727974234227e-01,6.101600448349566719e-01
6.734693877551020336e+00,6.489330553949325120e-01,8.017053513362887296e-01,9.981836872627041224e-01,4.689583388086623894e-01,5.080650108752313709e-01,5.614408233893345423e-01,5.985118750431355217e-01
6.938775510204081343e+00,6.371613815362733302e-01,7.845129979792466735e-01,9.806178343625161498e-01,4.622320869606665883e-01,5.026994000013831343e-01,5.542069761186653176e-01,5.873782715350015504e-01
7.142857142857143238e+00,6.258081240394920419e-01,7.680323710456193886e-01,9.640769939898908847e-01,4.557226779080831847e-01,4.977977357102992828e-01,5.474228620987864335e-01,5.768696274382216771e-01
7.346938775510204245e+00,6.149668092409893427e-01,7.523823905561333181e-01,9.486884218913418376e-01,4.494937592380811586e-01,4.934338765508942126e-01,5.411686124430700184e-01,5.670963358804633758e-01
7.551020408163265252e+00,6.047309634771660392e-01,7.376819765315154598e-01,9.345793738133820749e-01,4.436089785378290462e-01,4.896816810720817092e-01,5.355243582648865353e-01,5.581687899893930105e-01
7.755102040816327147e+00,5.951941130844234928e-01,7.240500489924917016e-01,9.218771055025256622e-01,4.381319833944956610e-01,4.866150078227764464e-01,5.305702306776078903e-01,5.501973828926784993e-01
7.959183673469388154e+00,5.864497843991622883e-01,7.116055279597889305e-01,9.107088727052863319e-01,4.331264213952494280e-01,4.843077153518923206e-01,5.263863607946051015e-01,5.432925077179866502e-01
8.163265306122449161e+00,5.785915037577833431e-01,7.004673334541325902e-01,9.012019311681769285e-01,4.286559401272593273e-01,4.828336622083435059e-01,5.230528797292491872e-01,5.375645575929847153e-01
8.367346938775510168e+00,5.717127974966880188e-01,6.907543854962502339e-01,8.934835366377120724e-01,4.247841871776938949e-01,4.822667069410440099e-01,5.206499185949118313e-01,5.331239256453395026e-01
8.571428571428571175e+00,5.659071919522766780e-01,6.825856041068673052e-01,8.876809448604041641e-01,4.215748101337215559e-01,4.826807080989082843e-01,5.192576085049640522e-01,5.300810050027183751e-01
8.775510204081632182e+00,5.612682134609505713e-01,6.760799093067114685e-01,8.839214115827681573e-01,4.190914565825116789e-01,4.841495242308503366e-01,5.189560805727774229e-01,5.285461887927883629e-01
8.979591836734694965e+00,5.578893883591105052e-01,6.713562211165082783e-01,8.823321925513160080e-01,4.173977741112319118e-01,4.867470138857840078e-01,5.198254659117227394e-01,5.286298701432168290e-01
9.183673469387755972e+00,5.558642429831573972e-01,6.685334595569845106e-01,8.830405435125632252e-01,4.165574103070520118e-01,4.905470356126240272e-01,5.219458956351717971e-01,5.304424421816703594e-01
9.387755102040816979e+00,5.552863036694922760e-01,6.677305446488660534e-01,8.861737202130215429e-01,4.166340127571396823e-01,4.956234479602839027e-01,5.253975008564956140e-01,5.340942980358165393e-01
9.591836734693877986e+00,5.562490967545161702e-01,6.690663964128802377e-01,8.918589783992063591e-01,4.176912290486645141e-01,5.020501094776784745e-01,5.302604126890658742e-01,5.396958308333222876e-01
9.795918367346938993e+00,5.588461485746297752e-01,6.726599348697520631e-01,9.002235738176290747e-01,4.197927067687941549e-01,5.099008787137214727e-01,5.366147622462528188e-01,5.473574337018544123e-01
1.000000000000000000e+01,5.631709854662342307e-01,6.786300800402090827e-01,9.113947622148056427e-01,4.230020935046985842e-01,5.192496142173271823e-01,5.445406806414287981e-01,5.571894997690808315e-01
